epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.555,1.02371,2.10955,1.35584,0.89315,0.60787,0.77088,0.55474,0.88409,2.32215,1.2968,0.000541044,0.000541044,0.000541044
2,251.078,0.95584,1.35715,1.26485,0.89837,0.65099,0.78327,0.56182,1.09616,1.8477,1.61937,0.00104242,0.00104242,0.00104242
3,366.303,0.94843,1.2231,1.25109,0.8286,0.63152,0.72045,0.50883,1.07004,2.08546,1.57396,0.00148879,0.00148879,0.00148879
4,485.263,0.92749,1.11845,1.24507,0.85564,0.84434,0.92076,0.68089,0.92523,1.36755,1.32376,0.00141945,0.00141945,0.00141945
5,617.613,0.8944,1.00449,1.21717,0.9002,0.77101,0.89269,0.64794,0.88631,1.23615,1.28418,0.00133693,0.00133693,0.00133693
6,756.19,0.87208,0.95655,1.19492,0.91529,0.86296,0.95323,0.74137,0.83855,1.06971,1.2414,0.00125442,0.00125442,0.00125442
7,877.271,0.79671,0.8537,1.16005,0.90959,0.95659,0.9714,0.78315,0.78,0.82028,1.1452,0.0011719,0.0011719,0.0011719
8,993.134,0.7916,0.81461,1.1493,0.96272,0.97211,0.9803,0.79516,0.71935,0.73277,1.10959,0.00108938,0.00108938,0.00108938
9,1133.19,0.74727,0.7345,1.11607,0.9677,0.95832,0.9797,0.76335,0.75195,0.71747,1.10648,0.00100687,0.00100687,0.00100687
10,1272.77,0.75278,0.72444,1.12973,0.96088,0.97418,0.98112,0.8111,0.66222,0.60278,1.0352,0.000924352,0.000924352,0.000924352
11,1407.24,0.69583,0.81228,1.12538,0.94944,0.97346,0.9862,0.81872,0.67347,0.66112,1.0508,0.000841835,0.000841835,0.000841835
12,1533.53,0.6704,0.69035,1.11527,0.95326,0.96962,0.9876,0.81676,0.67163,0.59672,1.04557,0.000759318,0.000759318,0.000759318
13,1680.64,0.64359,0.63241,1.08394,0.9769,0.97593,0.98699,0.83106,0.63078,0.59371,1.03673,0.000676802,0.000676802,0.000676802
14,1812.11,0.62131,0.59564,1.06622,0.97473,0.97406,0.98549,0.83532,0.60083,0.52459,1.00441,0.000594286,0.000594286,0.000594286
15,1936.61,0.58931,0.54235,1.03856,0.97796,0.98119,0.98947,0.84911,0.57628,0.50603,0.98184,0.000511769,0.000511769,0.000511769
16,2038.72,0.58175,0.52177,1.0411,0.97749,0.98237,0.99121,0.85437,0.55721,0.46649,0.9705,0.000429253,0.000429253,0.000429253
17,2140.7,0.54859,0.49362,1.01479,0.97667,0.98302,0.98825,0.86191,0.5337,0.45886,0.94693,0.000346736,0.000346736,0.000346736
18,2244.15,0.5397,0.47456,1.01421,0.98164,0.97607,0.98968,0.8696,0.52314,0.45815,0.94073,0.00026422,0.00026422,0.00026422
19,2354.15,0.52238,0.46413,0.99146,0.97824,0.985,0.98875,0.88097,0.48862,0.41914,0.91956,0.000181703,0.000181703,0.000181703
20,2474.22,0.49492,0.44391,0.98331,0.9777,0.98542,0.99012,0.88052,0.47505,0.41399,0.91005,9.91865e-05,9.91865e-05,9.91865e-05
